2024-01-10 09:24:17.069 [warning] TextEditor is closed/disposed
2024-01-10 09:24:17.876 [warning] TextEditor is closed/disposed
2024-01-10 09:26:38.194 [warning] TextEditor is closed/disposed
2024-01-10 09:26:41.375 [warning] TextEditor is closed/disposed
2024-01-10 09:26:44.402 [warning] TextEditor is closed/disposed
2024-01-10 09:26:55.740 [warning] TextEditor is closed/disposed
2024-01-10 09:26:56.240 [warning] TextEditor is closed/disposed
2024-01-10 09:31:25.344 [warning] TextEditor is closed/disposed
2024-01-10 09:32:32.215 [warning] TextEditor is closed/disposed
2024-01-10 09:34:53.153 [warning] TextEditor is closed/disposed
2024-01-10 09:34:57.150 [warning] TextEditor is closed/disposed
2024-01-10 09:35:23.236 [warning] TextEditor is closed/disposed
2024-01-10 09:35:24.379 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:7,$model51)
2024-01-10 09:40:57.088 [warning] TextEditor is closed/disposed
2024-01-10 09:41:19.848 [warning] TextEditor is closed/disposed
2024-01-10 09:41:32.890 [warning] TextEditor is closed/disposed
2024-01-10 09:42:19.662 [warning] TextEditor is closed/disposed
2024-01-10 10:03:47.012 [warning] TextEditor is closed/disposed
2024-01-10 10:04:04.189 [warning] TextEditor is closed/disposed
2024-01-10 10:04:15.206 [warning] TextEditor is closed/disposed
2024-01-10 10:04:34.409 [warning] TextEditor is closed/disposed
2024-01-10 10:08:39.572 [warning] TextEditor is closed/disposed
2024-01-10 10:09:53.859 [warning] TextEditor is closed/disposed
2024-01-10 10:59:06.167 [warning] TextEditor is closed/disposed
2024-01-10 12:20:09.601 [warning] TextEditor is closed/disposed
2024-01-10 12:20:11.729 [warning] TextEditor is closed/disposed
2024-01-10 12:21:09.377 [warning] TextEditor is closed/disposed
